species,isolate,type,site,dt_test,id_test,rep_isolate,condition,rep_test,time,c0_dose,c0_obs,conc_n0,detect,time_notdetect,stay_notdetect,impute,conc_nt,survival,lnS
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,1,0.25,0.2,0.24,15555555.5555556,1,,detect,none,757.575757575758,4.87012987012987e-05,-9.9298048608535
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,1,0.5,0.2,0.24,15555555.5555556,1,,detect,none,48.4848484848485,3.11688311688312e-06,-12.678677056476
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,1,1,0.2,0.24,15555555.5555556,1,,detect,none,2.22222222222222,1.42857142857143e-07,-15.7614207070196
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,2,0.25,0.2,0.24,15555555.5555556,1,,detect,none,610.610610610611,3.92535392535393e-05,-10.1454689457364
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,2,0.5,0.2,0.24,15555555.5555556,1,,detect,none,18.1818181818182,1.16883116883117e-06,-13.6595063094877
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,2,1,0.2,0.24,15555555.5555556,1,,detect,none,14.1414141414141,9.09090909090909e-07,-13.9108207377686
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,3,0.25,0.2,0.24,15555555.5555556,1,,detect,none,39393.9393939394,0.00253246753246753,-5.97856114227207
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,3,0.5,0.2,0.24,15555555.5555556,1,,detect,none,51.5151515151515,3.31168831168831e-06,-12.6180524346595
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,3,1,0.2,0.24,15555555.5555556,1,,detect,none,1.11111111111111,7.14285714285714e-08,-16.4545678875795
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,1,0.25,0.2,0.22,161616.161616162,1,,detect,none,840.840840840841,0.0052027027027027,-5.25857703789852
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,1,0.5,0.2,0.22,161616.161616162,1,,detect,none,19.1919191919192,0.00011875,-9.03849011504952
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,1,1,0.2,0.22,161616.161616162,1,,detect,none,3.33333333333333,2.0625e-05,-10.7890066257435
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,2,0.25,0.2,0.22,161616.161616162,1,,detect,none,1661.66166166166,0.0102815315315315,-4.57740604838529
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,2,0.5,0.2,0.22,161616.161616162,1,,detect,none,45.4545454545455,0.00028125,-8.17626660444564
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,2,1,0.2,0.22,161616.161616162,1,,detect,none,4.44444444444444,2.75e-05,-10.5013245532917
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,3,0.25,0.2,0.22,161616.161616162,1,,detect,none,3403.4034034034,0.0210585585585586,-3.86044821913163
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,3,0.5,0.2,0.22,161616.161616162,1,,detect,none,78.7878787878788,0.0004875,-7.62622026752637
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,3,1,0.2,0.22,161616.161616162,1,,detect,none,10.1010101010101,6.25e-05,-9.68034400122192
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,1,0.25,0.2,0.23,3757575.75757576,1,0.5,detect,none,565.656565656566,0.000150537634408602,-8.80129744252013
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,2,0.25,0.2,0.23,3757575.75757576,1,1,detect,none,18018.018018018,0.00479511769834351,-5.34015702489095
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,2,0.5,0.2,0.23,3757575.75757576,1,1,detect,none,10.1010101010101,2.68817204301075e-06,-12.8266491332553
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,3,0.25,0.2,0.23,3757575.75757576,1,1,detect,none,34.3434343434343,9.13978494623656e-06,-11.6028737016332
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,3,0.5,0.2,0.23,3757575.75757576,1,1,detect,none,1.11111111111111,2.95698924731183e-07,-15.033924046445
